timestamp,dpid,port_no,rx_bytes,tx_bytes,rx_throughput,tx_throughput,num_active_ports,active_ports,blocklist
2024-10-08 11:26:06,2,1,1052,9453,0.0,104.7346490031167,-1,[],{}
2024-10-08 11:26:06,2,2,7556,2800,104.7349229872296,0.0,-1,[],{}
2024-10-08 11:26:06,4,1,7863,2940,34.94198834042346,69.88397668084691,-1,[],{}
2024-10-08 11:26:06,4,2,962,9758,34.94171388121369,34.94171388121369,-1,[],{}
2024-10-08 11:26:08,1,1,1212,10648,34.92493847420794,158.16007851891308,-1,[],{}
2024-10-08 11:26:08,1,2,7451,3722,69.84986863952034,69.84986863952034,-1,[],{}
2024-10-08 11:26:08,1,3,872,10411,34.9225664453645,139.690265781458,-1,[],{}
2024-10-08 11:26:08,3,1,3722,7451,69.84361260229244,69.84361260229244,-1,[],{}
2024-10-08 11:26:08,3,2,2940,7766,69.84519935293558,104.76779902940336,-1,[],{}
2024-10-08 11:26:08,3,3,2940,8213,0.0,174.61353838995126,-1,[],{}
2024-10-08 11:26:08,2,1,1122,9733,34.927834364746836,139.71133745898734,-1,[],{}
2024-10-08 11:26:08,2,2,7766,2940,104.78339090565503,69.85559393710335,-1,[],{}
2024-10-08 11:26:08,4,1,8213,2940,174.62668652897784,0.0,-1,[],{}
2024-10-08 11:26:08,4,2,962,10178,0.0,209.55157514507422,-1,[],{}
2024-10-08 11:26:10,1,1,1212,10969,0.0,160.2470198531252,-1,[],{}
2024-10-08 11:26:10,1,2,7772,3829,160.2467337612859,53.41557792042863,-1,[],{}
2024-10-08 11:26:10,1,3,872,10732,0.0,160.25758689402363,-1,[],{}
2024-10-08 11:26:10,3,1,3829,7772,53.41570507243289,160.24711521729867,-1,[],{}
2024-10-08 11:26:10,3,2,3047,8087,53.41535540587779,160.24606621763337,-1,[],{}
2024-10-08 11:26:10,3,3,3047,8534,53.41521554053757,160.2456466216127,-1,[],{}
2024-10-08 11:26:10,2,1,1122,10161,0.0,213.60810795052546,-1,[],{}
2024-10-08 11:26:10,2,2,8087,3047,160.20569970221388,53.40189990073796,-1,[],{}
2024-10-08 11:26:10,4,1,8534,3047,160.0790120262728,53.359670675424276,-1,[],{}
2024-10-08 11:26:10,4,2,962,10606,0.0,213.44081440232753,-1,[],{}
2024-10-08 11:26:12,1,1,1212,10969,0.0,0.0,-1,[],{}
2024-10-08 11:26:12,1,2,7772,3829,0.0,0.0,-1,[],{}
2024-10-08 11:26:12,1,3,872,10839,0.0,53.48017908611551,-1,[],{}
2024-10-08 11:26:12,3,1,3829,7772,0.0,0.0,-1,[],{}
2024-10-08 11:26:12,3,2,3047,8087,0.0,0.0,-1,[],{}
2024-10-08 11:26:12,3,3,3047,8534,0.0,0.0,-1,[],{}
2024-10-08 11:26:12,2,1,1122,10161,0.0,0.0,-1,[],{}
2024-10-08 11:26:12,2,2,8087,3047,0.0,0.0,-1,[],{}
2024-10-08 11:26:12,4,1,8534,3047,0.0,0.0,-1,[],{}
2024-10-08 11:26:12,4,2,962,10606,0.0,0.0,-1,[],{}
2024-10-08 11:26:14,1,1,1212,10969,0.0,0.0,-1,[],{}
2024-10-08 11:26:14,1,2,7772,3829,0.0,0.0,-1,[],{}
2024-10-08 11:26:14,1,3,872,10839,0.0,0.0,-1,[],{}
2024-10-08 11:26:14,3,1,3829,7772,0.0,0.0,-1,[],{}
2024-10-08 11:26:14,3,2,3047,8087,0.0,0.0,-1,[],{}
2024-10-08 11:26:14,3,3,3047,8534,0.0,0.0,-1,[],{}
2024-10-08 11:26:14,2,1,1122,10161,0.0,0.0,-1,[],{}
2024-10-08 11:26:14,2,2,8087,3047,0.0,0.0,-1,[],{}
2024-10-08 11:26:14,4,1,8534,3047,0.0,0.0,-1,[],{}
2024-10-08 11:26:14,4,2,962,10606,0.0,0.0,-1,[],{}
2024-10-08 11:26:16,1,1,1212,10969,0.0,0.0,-1,[],{}
2024-10-08 11:26:16,1,2,7772,3829,0.0,0.0,-1,[],{}
2024-10-08 11:26:16,1,3,872,10839,0.0,0.0,-1,[],{}
2024-10-08 11:26:16,3,1,3829,7772,0.0,0.0,-1,[],{}
2024-10-08 11:26:16,3,2,3047,8087,0.0,0.0,-1,[],{}
2024-10-08 11:26:16,3,3,3047,8534,0.0,0.0,-1,[],{}
2024-10-08 11:26:16,2,1,1122,10161,0.0,0.0,-1,[],{}
2024-10-08 11:26:16,2,2,8087,3047,0.0,0.0,-1,[],{}
2024-10-08 11:26:16,4,1,8534,3047,0.0,0.0,-1,[],{}
2024-10-08 11:26:16,4,2,962,10606,0.0,0.0,-1,[],{}
2024-10-08 11:26:18,1,1,1212,10969,0.0,0.0,-1,[],{}
2024-10-08 11:26:18,1,2,7772,3829,0.0,0.0,-1,[],{}
2024-10-08 11:26:18,1,3,872,10839,0.0,0.0,-1,[],{}
2024-10-08 11:26:18,3,1,3829,7772,0.0,0.0,-1,[],{}
2024-10-08 11:26:18,3,2,3047,8087,0.0,0.0,-1,[],{}
2024-10-08 11:26:18,3,3,3047,8534,0.0,0.0,-1,[],{}
2024-10-08 11:26:18,2,1,1122,10161,0.0,0.0,-1,[],{}
2024-10-08 11:26:18,2,2,8087,3047,0.0,0.0,-1,[],{}
2024-10-08 11:26:18,4,1,8534,3047,0.0,0.0,-1,[],{}
2024-10-08 11:26:18,4,2,962,10606,0.0,0.0,-1,[],{}
2024-10-08 11:26:20,1,1,1212,10969,0.0,0.0,-1,[],{}
2024-10-08 11:26:20,1,2,7772,3899,0.0,34.98841728749188,-1,[],{}
2024-10-08 11:26:20,1,3,872,10839,0.0,0.0,-1,[],{}
2024-10-08 11:26:20,3,1,3899,7772,35.03158795014082,0.0,-1,[],{}
2024-10-08 11:26:20,3,2,3047,8157,0.0,35.0312034072708,-1,[],{}
2024-10-08 11:26:20,3,3,3047,8604,0.0,35.03113653111171,-1,[],{}
2024-10-08 11:26:20,2,1,1122,10231,0.0,35.01643833329159,-1,[],{}
2024-10-08 11:26:20,2,2,8157,3047,35.0162253460789,0.0,-1,[],{}
2024-10-08 11:26:20,4,1,8604,3047,35.002945909477724,0.0,-1,[],{}
2024-10-08 11:26:20,4,2,962,10676,0.0,35.0028165461026,-1,[],{}
2024-10-08 11:26:22,1,1,1212,11319,0.0,174.61073454062412,-1,[],{}
2024-10-08 11:26:22,1,2,7982,3969,104.75178822344334,34.91726274114778,-1,[],{}
2024-10-08 11:26:22,1,3,942,11049,34.917229520200586,104.75168856060176,-1,[],{}
2024-10-08 11:26:22,3,1,3969,7982,34.918201259024016,104.75460377707205,-1,[],{}
2024-10-08 11:26:22,3,2,3047,8367,0.0,104.75560046949523,-1,[],{}
2024-10-08 11:26:22,3,3,3187,8674,69.83710850893428,34.91855425446714,-1,[],{}
2024-10-08 11:26:22,2,1,1122,10441,0.0,104.78896322908496,-1,[],{}
2024-10-08 11:26:22,2,2,8367,3047,104.78937463215914,0.0,-1,[],{}
2024-10-08 11:26:22,4,1,8674,3187,34.986712018907994,69.97342403781599,-1,[],{}
2024-10-08 11:26:22,4,2,1032,10746,34.98631595341645,34.98631595341645,-1,[],{}
2024-10-08 11:26:24,1,1,1282,11426,34.97365492278849,53.45972966769098,-1,[],{}
2024-10-08 11:26:24,1,2,7982,4039,0.0,34.97888409268315,-1,[],{}
2024-10-08 11:26:24,1,3,942,11119,0.0,34.97901327921935,-1,[],{}
2024-10-08 11:26:24,3,1,4039,7982,34.98821714956194,0.0,-1,[],{}
2024-10-08 11:26:24,3,2,3047,8437,0.0,34.98816711543721,-1,[],{}
2024-10-08 11:26:24,3,3,3187,8814,0.0,69.97626751886712,-1,[],{}
2024-10-08 11:26:24,2,1,1122,10511,0.0,34.977758959973755,-1,[],{}
2024-10-08 11:26:24,2,2,8437,3047,34.97768812070681,0.0,-1,[],{}
2024-10-08 11:26:24,4,1,8814,3187,69.91792657101813,0.0,-1,[],{}
2024-10-08 11:26:24,4,2,1032,10886,0.0,69.91842608022128,-1,[],{}
2024-10-08 11:26:26,1,1,1282,11887,0.0,230.25976545009385,-1,[],{}
2024-10-08 11:26:26,1,2,8443,4146,230.25817507238534,53.44387143762523,-1,[],{}
2024-10-08 11:26:26,1,3,942,11650,0.0,265.22095011404673,-1,[],{}
2024-10-08 11:26:26,3,1,4146,8443,53.43253262215449,230.20932279264693,-1,[],{}
2024-10-08 11:26:26,3,2,3294,8828,123.34456593912334,195.25394851091994,-1,[],{}
2024-10-08 11:26:26,3,3,3294,9275,53.43272347148587,230.2101450500466,-1,[],{}
2024-10-08 11:26:26,2,1,1192,11079,34.96542891652183,283.71948035120573,-1,[],{}
2024-10-08 11:26:26,2,2,8828,3294,195.30701210220872,123.37808692901676,-1,[],{}
2024-10-08 11:26:26,4,1,9275,3294,230.0848459924529,53.40364104380143,-1,[],{}
2024-10-08 11:26:26,4,2,1032,11524,0.0,318.42711567523827,-1,[],{}
2024-10-08 11:26:28,1,1,1282,11887,0.0,0.0,-1,[],{}
2024-10-08 11:26:28,1,2,8443,4146,0.0,0.0,-1,[],{}
2024-10-08 11:26:28,1,3,942,11757,0.0,53.41294600989255,-1,[],{}
2024-10-08 11:26:28,3,1,4146,8443,0.0,0.0,-1,[],{}
2024-10-08 11:26:28,3,2,3294,8828,0.0,0.0,-1,[],{}
2024-10-08 11:26:28,3,3,3294,9275,0.0,0.0,-1,[],{}
2024-10-08 11:26:28,2,1,1192,11079,0.0,0.0,-1,[],{}
2024-10-08 11:26:28,2,2,8828,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:28,4,1,9275,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:28,4,2,1032,11524,0.0,0.0,-1,[],{}
2024-10-08 11:26:30,1,1,1282,11887,0.0,0.0,-1,[],{}
2024-10-08 11:26:30,1,2,8443,4146,0.0,0.0,-1,[],{}
2024-10-08 11:26:30,1,3,942,11757,0.0,0.0,-1,[],{}
2024-10-08 11:26:30,3,1,4146,8443,0.0,0.0,-1,[],{}
2024-10-08 11:26:30,3,2,3294,8828,0.0,0.0,-1,[],{}
2024-10-08 11:26:30,3,3,3294,9275,0.0,0.0,-1,[],{}
2024-10-08 11:26:30,2,1,1192,11079,0.0,0.0,-1,[],{}
2024-10-08 11:26:30,2,2,8828,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:30,4,1,9275,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:30,4,2,1032,11524,0.0,0.0,-1,[],{}
2024-10-08 11:26:32,1,1,1282,11887,0.0,0.0,-1,[],{}
2024-10-08 11:26:32,1,2,8443,4146,0.0,0.0,-1,[],{}
2024-10-08 11:26:32,1,3,942,11757,0.0,0.0,-1,[],{}
2024-10-08 11:26:32,3,1,4146,8443,0.0,0.0,-1,[],{}
2024-10-08 11:26:32,3,2,3294,8828,0.0,0.0,-1,[],{}
2024-10-08 11:26:32,3,3,3294,9275,0.0,0.0,-1,[],{}
2024-10-08 11:26:32,2,1,1192,11079,0.0,0.0,-1,[],{}
2024-10-08 11:26:32,2,2,8828,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:32,4,1,9275,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:32,4,2,1032,11524,0.0,0.0,-1,[],{}
2024-10-08 11:26:34,1,1,1282,11887,0.0,0.0,-1,[],{}
2024-10-08 11:26:34,1,2,8443,4146,0.0,0.0,-1,[],{}
2024-10-08 11:26:34,1,3,942,11757,0.0,0.0,-1,[],{}
2024-10-08 11:26:34,3,1,4146,8443,0.0,0.0,-1,[],{}
2024-10-08 11:26:34,3,2,3294,8828,0.0,0.0,-1,[],{}
2024-10-08 11:26:34,3,3,3294,9275,0.0,0.0,-1,[],{}
2024-10-08 11:26:34,2,1,1192,11079,0.0,0.0,-1,[],{}
2024-10-08 11:26:34,2,2,8828,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:34,4,1,9275,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:34,4,2,1032,11524,0.0,0.0,-1,[],{}
2024-10-08 11:26:36,1,1,1282,11887,0.0,0.0,-1,[],{}
2024-10-08 11:26:36,1,2,8443,4146,0.0,0.0,-1,[],{}
2024-10-08 11:26:36,1,3,942,11757,0.0,0.0,-1,[],{}
2024-10-08 11:26:36,3,1,4146,8443,0.0,0.0,-1,[],{}
2024-10-08 11:26:36,3,2,3294,8828,0.0,0.0,-1,[],{}
2024-10-08 11:26:36,3,3,3294,9275,0.0,0.0,-1,[],{}
2024-10-08 11:26:36,2,1,1192,11079,0.0,0.0,-1,[],{}
2024-10-08 11:26:36,2,2,8828,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:36,4,1,9275,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:36,4,2,1032,11524,0.0,0.0,-1,[],{}
2024-10-08 11:26:38,1,1,1282,11887,0.0,0.0,-1,[],{}
2024-10-08 11:26:38,1,2,8443,4146,0.0,0.0,-1,[],{}
2024-10-08 11:26:38,1,3,942,11757,0.0,0.0,-1,[],{}
2024-10-08 11:26:38,3,1,4146,8443,0.0,0.0,-1,[],{}
2024-10-08 11:26:38,3,2,3294,8828,0.0,0.0,-1,[],{}
2024-10-08 11:26:38,3,3,3294,9275,0.0,0.0,-1,[],{}
2024-10-08 11:26:38,2,1,1192,11079,0.0,0.0,-1,[],{}
2024-10-08 11:26:38,2,2,8828,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:38,4,1,9275,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:38,4,2,1032,11524,0.0,0.0,-1,[],{}
2024-10-08 11:26:40,1,1,1282,11887,0.0,0.0,-1,[],{}
2024-10-08 11:26:40,1,2,8443,4146,0.0,0.0,-1,[],{}
2024-10-08 11:26:40,1,3,942,11757,0.0,0.0,-1,[],{}
2024-10-08 11:26:40,3,1,4146,8443,0.0,0.0,-1,[],{}
2024-10-08 11:26:40,3,2,3294,8828,0.0,0.0,-1,[],{}
2024-10-08 11:26:40,3,3,3294,9275,0.0,0.0,-1,[],{}
2024-10-08 11:26:40,2,1,1192,11079,0.0,0.0,-1,[],{}
2024-10-08 11:26:40,2,2,8828,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:40,4,1,9275,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:40,4,2,1032,11524,0.0,0.0,-1,[],{}
2024-10-08 11:26:42,1,1,1282,11887,0.0,0.0,-1,[],{}
2024-10-08 11:26:42,1,2,8443,4146,0.0,0.0,-1,[],{}
2024-10-08 11:26:42,1,3,942,11757,0.0,0.0,-1,[],{}
2024-10-08 11:26:42,3,1,4146,8443,0.0,0.0,-1,[],{}
2024-10-08 11:26:42,3,2,3294,8828,0.0,0.0,-1,[],{}
2024-10-08 11:26:42,3,3,3294,9275,0.0,0.0,-1,[],{}
2024-10-08 11:26:42,2,1,1192,11079,0.0,0.0,-1,[],{}
2024-10-08 11:26:42,2,2,8828,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:42,4,1,9275,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:42,4,2,1032,11524,0.0,0.0,-1,[],{}
2024-10-08 11:26:44,1,1,1282,11887,0.0,0.0,-1,[],{}
2024-10-08 11:26:44,1,2,8443,4146,0.0,0.0,-1,[],{}
2024-10-08 11:26:44,1,3,942,11757,0.0,0.0,-1,[],{}
2024-10-08 11:26:44,3,1,4146,8443,0.0,0.0,-1,[],{}
2024-10-08 11:26:44,3,2,3294,8828,0.0,0.0,-1,[],{}
2024-10-08 11:26:44,3,3,3294,9275,0.0,0.0,-1,[],{}
2024-10-08 11:26:44,2,1,1192,11079,0.0,0.0,-1,[],{}
2024-10-08 11:26:44,2,2,8828,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:44,4,1,9275,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:44,4,2,1032,11524,0.0,0.0,-1,[],{}
2024-10-08 11:26:46,1,1,1282,11887,0.0,0.0,-1,[],{}
2024-10-08 11:26:46,1,2,8443,4146,0.0,0.0,-1,[],{}
2024-10-08 11:26:46,1,3,942,11757,0.0,0.0,-1,[],{}
2024-10-08 11:26:46,3,1,4146,8443,0.0,0.0,-1,[],{}
2024-10-08 11:26:46,3,2,3294,8828,0.0,0.0,-1,[],{}
2024-10-08 11:26:46,3,3,3294,9275,0.0,0.0,-1,[],{}
2024-10-08 11:26:46,2,1,1192,11079,0.0,0.0,-1,[],{}
2024-10-08 11:26:46,2,2,8828,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:46,4,1,9275,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:46,4,2,1032,11524,0.0,0.0,-1,[],{}
2024-10-08 11:26:48,1,1,1282,11887,0.0,0.0,-1,[],{}
2024-10-08 11:26:48,1,2,8443,4146,0.0,0.0,-1,[],{}
2024-10-08 11:26:48,1,3,942,11757,0.0,0.0,-1,[],{}
2024-10-08 11:26:48,3,1,4146,8443,0.0,0.0,-1,[],{}
2024-10-08 11:26:48,3,2,3294,8828,0.0,0.0,-1,[],{}
2024-10-08 11:26:48,3,3,3294,9275,0.0,0.0,-1,[],{}
2024-10-08 11:26:48,2,1,1192,11079,0.0,0.0,-1,[],{}
2024-10-08 11:26:48,2,2,8828,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:48,4,1,9275,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:48,4,2,1032,11524,0.0,0.0,-1,[],{}
2024-10-08 11:26:50,1,1,1282,11957,0.0,34.95588327214691,-1,[],{}
2024-10-08 11:26:50,1,2,8513,4146,34.955870786710825,0.0,-1,[],{}
2024-10-08 11:26:50,1,3,942,11827,0.0,34.955891595775924,-1,[],{}
2024-10-08 11:26:50,3,1,4146,8513,0.0,34.95693208062014,-1,[],{}
2024-10-08 11:26:50,3,2,3294,8828,0.0,0.0,-1,[],{}
2024-10-08 11:26:50,3,3,3294,9275,0.0,0.0,-1,[],{}
2024-10-08 11:26:50,2,1,1192,11079,0.0,0.0,-1,[],{}
2024-10-08 11:26:50,2,2,8828,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:50,4,1,9275,3294,0.0,0.0,-1,[],{}
2024-10-08 11:26:50,4,2,1032,11524,0.0,0.0,-1,[],{}
2024-10-08 11:26:52,1,1,1282,11957,0.0,0.0,-1,[],{}
2024-10-08 11:26:52,1,2,8513,4216,0.0,34.87731459153093,-1,[],{}
2024-10-08 11:26:52,1,3,942,11827,0.0,0.0,-1,[],{}
2024-10-08 11:26:52,3,1,4216,8513,34.87658127366201,0.0,-1,[],{}
2024-10-08 11:26:52,3,2,3294,8898,0.0,34.876618560267154,-1,[],{}
2024-10-08 11:26:52,3,3,3294,9345,0.0,34.87663098915325,-1,[],{}
2024-10-08 11:26:52,2,1,1192,11149,0.0,34.88147064201229,-1,[],{}
2024-10-08 11:26:52,2,2,8898,3294,34.881586677573054,0.0,-1,[],{}
2024-10-08 11:26:52,4,1,9345,3294,34.88646501363846,0.0,-1,[],{}
2024-10-08 11:26:52,4,2,1032,11594,0.0,34.886498176071484,-1,[],{}
2024-10-08 11:26:54,1,1,1282,12027,0.0,34.60884688327828,-1,[],{}
2024-10-08 11:26:54,1,2,8513,4286,0.0,34.60905902315885,-1,[],{}
2024-10-08 11:26:54,1,3,1012,11827,34.609124297491476,0.0,-1,[],{}
2024-10-08 11:26:54,3,1,4286,8513,34.61777532477899,0.0,-1,[],{}
2024-10-08 11:26:54,3,2,3294,8968,0.0,34.617910021180975,-1,[],{}
2024-10-08 11:26:54,3,3,3294,9415,0.0,34.617946756745255,-1,[],{}
2024-10-08 11:26:54,2,1,1192,11219,0.0,34.61874271311658,-1,[],{}
2024-10-08 11:26:54,2,2,8968,3294,34.618673320591924,0.0,-1,[],{}
2024-10-08 11:26:54,4,1,9415,3294,34.590869322721744,0.0,-1,[],{}
2024-10-08 11:26:54,4,2,1032,11664,0.0,34.591093468473645,-1,[],{}
2024-10-08 11:26:56,1,1,1352,12316,35.00214470653285,144.50885457411422,-1,[],{}
2024-10-08 11:26:56,1,2,8695,4356,91.0052290583141,35.00201117627465,-1,[],{}
2024-10-08 11:26:56,1,3,1012,12079,0.0,126.00689472731112,-1,[],{}
2024-10-08 11:26:56,3,1,4356,8695,34.99339228470576,90.98281994023498,-1,[],{}
2024-10-08 11:26:56,3,2,3410,9220,57.988987868109476,125.97607709278955,-1,[],{}
2024-10-08 11:26:56,3,3,3550,9601,127.97560584619664,92.98227612262725,-1,[],{}
2024-10-08 11:26:56,2,1,1308,11471,57.98892566455429,125.97594196092827,-1,[],{}
2024-10-08 11:26:56,2,2,9220,3410,125.97597199020572,57.988939487555015,-1,[],{}
2024-10-08 11:26:56,4,1,9601,3550,93.00718458361747,128.00988845917243,-1,[],{}
2024-10-08 11:26:56,4,2,1218,11850,93.00617557046327,93.00617557046327,-1,[],{}
2024-10-08 11:26:58,1,1,1352,12707,0.0,195.24516161983306,0,[2],{}
2024-10-08 11:26:58,1,2,9016,4463,160.28994520096848,53.429981733656156,0,[2],{}
2024-10-08 11:26:58,1,3,1012,12400,0.0,160.2897543707679,0,[2],{}
2024-10-08 11:26:58,3,1,4463,9016,53.44050492340568,160.32151477021705,0,[2],{}
2024-10-08 11:26:58,3,2,272255,16111,134272.87055088166,3441.6647174622017,0,[2],{}
